job_id,city,zip,job_title,description,image_filename,source_page
HP-001,Hillsborough,,Hillsborough - Bradford White 80-Gallon AeroTherm Series Heat Pump Water Heater with Bradford White Connect Smart Feature,Homeowner requested to install a a new Bradford White 80 Gallon AeroTherm Series Heat Pump with Bradford White Smart Connect.,Gaurav.2.png,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations
HP-002,Oakland,,Oakland - Rheem 80-gallon Hybrid Water Heater Installation,The homeowner has solar and wanted to upgrade their older gas tank to electric hybrid. They also added a dedicated return line with a Grundfos Alpha HWR recirculating pump.,margaret_edited.jpg,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations
HP-003,Fremont,,Fremont - AO Smith 66-Gallon Hybrid Water Heater Installation,Homeowner replaced old gas tank with new efficient hybrid heat pump.,srikanth_edited.jpg,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations
HP-004,San Carlos,,San Carlos - Rheem 80-gallon Hybrid Water Heater Installation,We worked with a contractor to install this hybrid unit in an outdoor utility closet.,ryan_edited.jpg,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations
HP-005,Clayton,,Clayton - Navien 80-gallon Hybrid Water Heater Installation,"The homeowner has solar and needed to replace an leaking gas tank water heater. We installed a new high-efficiency Navien hybrid heat pump water heater, allowing them to maximize their solar power while significantly reducing energy costs.",barb_edited.jpg,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations
HP-006,Newark,,Newark - AO Smith 80-Gallon Hybrid Water Heater Installation,Homeowner replaced old gas tank with new efficient hybrid heat pump.,arlina_edited.jpg,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations
HP-007,Danville,,Danville - Rheem 80-gallon Hybrid Water Heater Installation,"Old gas tank failed while owner was on vacation, leaking into the home and damaging drywall and flooring. We installed a hybrid water heater, installed new flooring, installed new drywall with texture and paint.",jason_edited.jpg,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations
