job_id,city,zip,job_title,description,image_filename,source_page
TL-001,Walnut Creek,94550,Walnut Creek - Navien 199k BTU Gas Tankless Water Heater Installation 94550,This homeowner had a 21-year old tankless water heater that was still working but needed to be replaced before failure.,meiko_edited.jpg,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations
TL-002,Redwood City,94065,Redwood city - Navien 199k BTU Gas Tankless Water Heater Installation,The Homeowner had a 50 Gallon Gas Water Heater in the attic and requested for a new Tankless Water Heater Conversion Install 94065,14F7B6D9-1CFC-4FC6-A4E3-9BC0EAEE92E0.heic,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations
TL-003,San Francisco,94131,San Francisco - Navien 199k BTU Gas Tankless Water Heater Installation,The Homeowner had a 50 Gallon Gas Water Heater and requested for a new Tankless Water Heater Conversion Install. 94131,IMG_2296.jpeg,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations
TL-004,San Francisco,94122,San Francisco - Vesta 199k BTU Tankless Water Heater Install 94121,The Homeowner had a 50 Gallon Gas Water Heater and requested for a new Tankless Water Heater Coversion Install 94122,IMG_3273.jpeg,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations
TL-005,San Ramon,,San Ramon - A.O. Smith 199k BTU Gas Tankless Water Heater Installation,The Homeowner had an existing Tankless Water heater that was no longer working and requested to change out to a new Tankless Water Heater.,FullSizeRender.jpeg,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations
TL-006,Santa Clara,,Santa Clara - Navien 199k BTU Gas Tankless Water Heater Installation,The Homeowner had a 50 Gallon Gas Water Heater and requested for a new Tankless Water Heater Conversion Install.,FullSizeRender_edited.jpg,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations
